LineID,Stage,DexNum,Parents,Rule,Bedtime,Notes
ver1,Fresh,1411,egg,TIME,20:00,Botamon
ver1,InTraining,1455,1411,TIME,21:00,Koromon
ver1,Rookie,29,1455,CM 0-2,21:00,Agumon
ver1,Rookie,37,1455,CM 3+,22:00,Betamon
ver1,Champion,93,29,"CM 0-2, TR 16+",23:00,Greymon
ver1,Champion,102,29,"CM 0-2, TR 0-15",24:00,Devimon
ver1,Champion,95,29,"CM 3+, TR 16+, OF 3+",22:00,Meramon
ver1,Champion,124,29,"CM 3+, TR 5-15, OF 3+",23:00,Tyrannomon
ver1,Champion,102,37,"CM 0-2, TR 16+",24:00,Devimon (Betamon road)
ver1,Champion,95,37,"CM 0-2, TR 0-15",22:00,Meramon (Betamon road)
ver1,Champion,90,37,"CM 3+, TR 8-15, OF 0-2",23:00,Airdramon
ver1,Champion,110,37,"CM 3+, TR 8-15, OF 3+",23:00,Seadramon
ver1,Champion,116,29;37,CM 3+,21:00,Numemon
ver1,Ultimate,220,93;102;90,WIN 12/15,23:00,MetalGreymon
ver1,Ultimate,237,124;95;110,WIN 12/15,22:00,Mamemon
ver1,Ultimate,192,116,WIN 12/15,23:00,Monzaemon (canon dead end)
ver1,Mega,297,220,CM 0-2,23:00,BlitzGreymon
ver1,Mega,300,237,CM 0-2,24:00,BanchoMamemon
ver1,Mega,399,297,JOGRESS 398,23:00,Omnimon Alter-S (jogress with CresGarurumon; canon Tag Battle capstone)
verX,Fresh,1426,egg,TIME,20:00,Dodomon
verX,InTraining,1479,1426,TIME,20:00,Dorimon
verX,Rookie,41,1479,CM 0-2,21:00,Dorumon
verX,Rookie,829,1479,CM 3+,21:00,Agumon X
verX,Champion,86,41,"CM 0-2, TR 8+",22:00,Dorugamon
verX,Champion,745,41,TIME,21:00,DexDorugamon corrupted catch-all
verX,Champion,851,829,"CM 0-2, LV 2+",22:00,Greymon X
verX,Champion,997,829,TIME,21:00,Numemon X catch-all; punishment leaf
verX,Ultimate,258,86,WIN 12/15,23:00,DoruGreymon
verX,Ultimate,747,745,BTL 10+,23:00,DexDorugreymon feral: fights count wins do not
verX,Ultimate,845,851,"WIN 12/15, KO6 1+",23:00,MetalGreymon X
verX,Mega,330,258,"CM 0-2, KO6 3+, AREA 3",23:00,Alphamon
verX,Mega,329,258,KO6 3+,23:00,Dorugoramon beast road
verX,Mega,746,747,BTL 15+,23:00,DexDorugoramon
verX,Mega,856,845,CM 0-2,23:00,WarGreymon X
verE,Fresh,1410,egg,TIME,20:00,YukimiBotamon
verE,InTraining,1458,1410,TIME,21:00,Nyaromon
verE,Rookie,47,1458,TIME,21:00,Salamon (Plotmon; canon Meicoo line: no requirements)
verE,Champion,386,47,TIME,22:00,Meicoomon
verE,Ultimate,389,386,WIN 12/15,22:00,Meicrackmon (canon: 15 Battles 12-15 Victories)
verE,Mega,392,389,CM 0-2,24:00,Rasielmon
ver2,Fresh,1412,egg,TIME,20:00,Punimon
ver2,InTraining,1459,1412,TIME,21:00,Tsunomon
ver2,Rookie,34,1459,CM 0-2,21:00,Gabumon
ver2,Rookie,43,1459,CM 3+,22:00,Elecmon
ver2,Champion,140,34,"CM 0-2, TR 16+",22:00,Kabuterimon
ver2,Champion,101,34,"CM 0-2, TR 0-15",22:00,Angemon
ver2,Champion,136,34,"CM 3+, TR 16+, OF 3+",23:00,Frigimon (Yukidarumon)
ver2,Champion,108,34,"CM 3+, TR 5-15, OF 3+",23:00,Garurumon
ver2,Champion,101,43,"CM 0-2, TR 16+",22:00,Angemon (Elecmon road)
ver2,Champion,97,43,"CM 0-2, TR 0-15",23:00,Birdramon
ver2,Champion,136,43,"CM 3+, TR 8-15, OF 0-2",23:00,Frigimon (Elecmon road)
